username,repo_name,ratings,repo_url
Genymobile,scrcpy,94400,https://github.com/Genymobile/scrcpy
neovim,neovim,71200,https://github.com/neovim/neovim
obsproject,obs-studio,52400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,51000,https://github.com/fffaraz/awesome-cpp
git,git,48000,https://github.com/git/git
FFmpeg,FFmpeg,39500,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37700,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33500,https://github.com/vim/vim
curl,curl,32500,https://github.com/curl/curl
huihut,interview,31100,https://github.com/huihut/interview
ggreer,the_silver_searcher,25300,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,24200,https://github.com/mpv-player/mpv
ossrs,srs,23100,https://github.com/ossrs/srs
google,flatbuffers,21400,https://github.com/google/flatbuffers
ruby,ruby,21000,https://github.com/ruby/ruby
kovidgoyal,kitty,20400,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,20200,https://github.com/microsoft/vcpkg
radareorg,radare2,18900,https://github.com/radareorg/radare2
hashcat,hashcat,18700,https://github.com/hashcat/hashcat
jarun,nnn,17400,https://github.com/jarun/nnn
