username,repo_name,ratings,repo_url
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,122000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,52900,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,51000,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,43500,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,42100,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,34400,https://github.com/Light-City/CPlusPlusThings
yuzu-emu,yuzu,31900,https://github.com/yuzu-emu/yuzu
carbon-language,carbon-lang,31600,https://github.com/carbon-language/carbon-lang
huihut,interview,31100,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,28700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,28100,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,26700,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,26100,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,22200,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,21700,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21300,https://github.com/ethereum/solidity
gabime,spdlog,20700,https://github.com/gabime/spdlog
microsoft,vcpkg,20200,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,18400,https://github.com/ssloy/tinyrenderer
