username,repo_name,ratings,repo_url
ccxt,ccxt,29700,https://github.com/ccxt/ccxt
discordjs,discord.js,24200,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,23600,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,17700,https://github.com/wechaty/wechaty
RasaHQ,rasa,17200,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,15900,https://github.com/InstaPy/InstaPy
leon-ai,leon,13800,https://github.com/leon-ai/leon
Rapptz,discord.py,13700,https://github.com/Rapptz/discord.py
gunthercox,ChatterBot,13700,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,13300,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,12400,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11200,https://github.com/howdyai/botkit
lss233,chatgpt-mirai-qq-bot,10300,https://github.com/lss233/chatgpt-mirai-qq-bot
Mrs4s,go-cqhttp,9900,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9700,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,7600,https://github.com/yagop/node-telegram-bot-api
microsoft,ailab,7500,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,7200,https://github.com/telegraf/telegraf
